"sitename","siteid","datasetid","altitude","longitude","latitude"
"Site 47 (Swain unpublished)",117,117,503,-89.48,45.42
"January Cave [EbPp-Vp]",1135,1170,2040,-114.51833,50.18833
"James Bay",1136,1171,NA,-80.2,50.22
"Site 1 (Railton 1973)",1137,1172,61,-64.32,44.57
"Site 2 (Railton 1973)",1138,1173,30,-66.08,43.88
"Site 3 (Railton 1973)",1139,1174,61,-66.07,44.12
"Site 4 (Railton 1973)",1140,1175,46,-65.78,44.1
"Site 5 (Railton 1973)",1141,1176,91,-65.45,44.82
"Site 6 (Railton 1973)",1142,1177,183,-65.32,44.72
"Site 7 (Railton 1973)",1143,1178,137,-65.03,44.73
"Site 8 (Railton 1973)",1144,1179,61,-64.8,44.48
"Site 48 (Swain unpublished)",118,118,396,-90.65,45.13
"Site 9 (Railton 1973)",1145,1180,61,-63.67,44.55
"Site 10 (Railton 1973)",1146,1181,61,-63.57,44.48
"Site 11 (Railton 1973)",1147,1182,61,-60.32,45.93
"Site 12 (Railton 1973)",1148,1183,61,-62.53,44.92
"Site 13 (Railton 1973)",1149,1184,61,-62.88,45.12
"Site 14 (Railton 1973)",1150,1185,61,-63.55,45.38
"Site 15 (Railton 1973)",1151,1186,61,-62.43,45.37
"Site 16 (Railton 1973)",1152,1187,61,-63.67,45.8
"Site 17 (Railton 1973)",1153,1188,183,-63.93,45.55
"Site 18 (Railton 1973)",1154,1189,46,-64.47,45.4
"Site 49 (Swain unpublished)",119,119,381,-92,45.57
"Site 19 (Railton 1973)",1155,1190,61,-62.62,45.67
"Site 20 (Railton 1973)",1156,1191,46,-61.83,45.62
"Site 21 (Railton 1973)",1157,1192,61,-62.13,45.57
"Site 22 (Railton 1973)",1158,1193,91,-61.12,45.87
"Site 23 (Railton 1973)",1159,1194,61,-60.92,46.17
"Site 24 (Railton 1973)",1160,1195,61,-60.97,46.27
"Site 25 (Railton 1973)",1161,1196,91,-60.68,46.38
"Site 26 (Railton 1973)",1162,1197,241,-53.03,47.35
"Site 27 (Railton 1973)",1163,1198,107,-53.33,47.43
"Site 28 (Railton 1973)",1164,1199,76,-53.93,47.73
"Site 50 (Swain unpublished)",120,120,427,-78.75,42.1
"Site 29 (Railton 1973)",1165,1200,152,-54.33,47.92
"Little Dollar Lake",7529,12000,258,-85.3096,46.1848
"Little Dollar Lake",7529,12001,258,-85.3096,46.1848
"Last Lake",7531,12004,396,-95.2438,45.4481
"Cottonwood Lake",7532,12005,324,-95.6919,44.6103
"Monson Lake",7533,12006,376,-95.2897,45.318
"Deans Lake",7534,12007,228,-93.45724,44.7713
"Lake Emily",7535,12008,302,-93.9262,44.3038
"Perch Lake",7536,12009,477,-95.4724,46.1874
"Site 30 (Railton 1973)",1166,1201,61,-55.7,48.95
"Chub Lake",7537,12010,294,-93.22451,44.5522
"Lake Rachel",7538,12011,415,-95.5616,45.7953
"Ziebell Lake",7539,12012,425,-95.2663,46.0537
"Mud Lake",7540,12013,415,-95.4657,45.8545
"Lybeck Lake",7541,12014,356,-95.717,45.67
"Union Lake",7542,12015,423,-95.3484,45.8138
"Albert Lea Lake",7543,12016,369,-93.2894,43.6469
"Site 31 (Railton 1973)",1167,1202,122,-54.97,49.03
"Everhart Lake",7549,12024,392,-93.4424,43.6154
"Site 32 (Railton 1973)",1168,1203,183,-56.08,49.15
"Site 33 (Railton 1973)",1169,1204,305,-57.58,49.38
"Site 34 (Railton 1973)",1170,1205,3,-57.77,49.93
"Site 35 (Railton 1973)",1171,1206,6,-57.6,50.22
"Site 36 (Railton 1973)",1172,1207,15,-57.27,50.73
"Site 37 (Railton 1973)",1173,1208,107,-55.63,51.33
"Site 38 (Railton 1973)",1174,1209,213,-58.18,48.67
"Site 51 (Swain unpublished)",121,121,457,-79.17,41.75
"Site 39 (Railton 1973)",1175,1210,37,-58.55,48.33
"Site 3 (Ritchie, J.C. 1974)",1176,1211,15,-132.27,68.93
"Site 4 (Ritchie, J.C. 1974)",1177,1212,61,-131.77,69.03
"Site 5 (Ritchie, J.C. 1974)",1178,1213,30,-133.23,69.13
"Site 7 (Ritchie, J.C. 1974)",1179,1214,30,-132.92,69.28
"Site 8 (Ritchie, J.C. 1974)",1180,1215,24,-132.62,69.38
"Site 9 (Ritchie, J.C. 1974)",1181,1216,26,-132.85,69.43
"Site 11 (Ritchie, J.C. 1974)",1182,1217,30,-133.55,69.35
"Site 58 (Ritchie, J.C. 1974)",1183,1218,91,-133.53,63.53
"Site 23 (Ritchie, J.C. 1974)",1184,1219,274,-132.52,68.18
"Site 52 (Swain unpublished)",122,122,518,-78.75,41.62
"Site 28 (Ritchie, J.C. 1974)",1185,1220,91,-133.72,68.22
"Site 42 (Ritchie, J.C. 1974)",1186,1221,24,-134.73,69.27
"Site 43 (Ritchie, J.C. 1974)",1187,1222,18,-134.57,69.33
"Site 45 (Ritchie, J.C. 1974)",1188,1223,12,-134.45,69.38
"Site 47 (Ritchie, J.C. 1974)",1189,1224,6,-134.42,69.57
"Site 49 (Ritchie, J.C. 1974)",1190,1225,15,-134.05,69.53
"Site 54 (Ritchie, J.C. 1974)",1191,1226,30,-132.38,68.42
"Site 6 (Ritchie, J.C. 1974)",1192,1227,30,-133.25,69.17
"Site 12 (Ritchie, J.C. 1974)",1193,1228,30,-133.75,69.28
"Site 36 (Ritchie, J.C. 1974)",1194,1229,27,-131.4,69.62
"Site 53 (Swain unpublished)",123,123,518,-78.42,41.73
"Site 37 (Ritchie, J.C. 1974)",1195,1230,27,-131.57,69.6
"Site 44 (Ritchie, J.C. 1974)",1196,1231,15,-134.22,69.33
"Site 46 (Ritchie, J.C. 1974)",1197,1232,15,-134.43,69.48
"Site 50 (Ritchie, J.C. 1974)",1198,1233,15,-133.88,69.45
"Site 53 (Ritchie, J.C. 1974)",1199,1234,213,-132.47,68.32
"Site 59 (Ritchie, J.C. 1974)",1200,1235,290,-140.33,67.33
"Site 60 (Ritchie, J.C. 1974)",1201,1236,439,-138.28,68.32
"Site 13 (Ritchie, J.C. 1974)",1202,1237,152,-129.7,68.95
"Site 14 (Ritchie, J.C. 1974)",1203,1238,285,-129,69.07
"Site 15 (Ritchie, J.C. 1974)",1204,1239,46,-130.15,69.15
"Site 54 (Swain unpublished)",124,124,579,-77.95,41.83
"Site 24 (Ritchie, J.C. 1974)",1205,1240,183,-131.63,68.2
"Site 61 (Ritchie, J.C. 1974)",1206,1241,69,-128.75,69.42
"Site 33 (Ritchie, J.C. 1974)",1207,1242,38,-129.38,69.68
"Site 35 (Ritchie, J.C. 1974)",1208,1243,30,-130.92,69.68
"Site 38 (Ritchie, J.C. 1974)",1209,1244,15,-131.58,69.37
"Site 55 (Ritchie, J.C. 1974)",1210,1245,183,-131.23,68.43
"Site 56 (Ritchie, J.C. 1974)",1211,1246,61,-130.9,68.53
"Site 57 (Ritchie, J.C. 1974)",1212,1247,30,-131.18,68.58
"Site 62 (Ritchie, J.C. 1974)",1213,1248,58,-130.28,68.98
"Site 29 (Ritchie, J.C. 1974)",1214,1249,213,-128.93,68.8
"Site 55 (Swain unpublished)",125,125,518,-77.77,41.72
"Site 34 (Ritchie, J.C. 1974)",1215,1250,12,-129.97,69.58
"Site 63 (Ritchie, J.C. 1974)",1216,1251,15,-130.42,69.95
"Site 64 (Ritchie, J.C. 1974)",1217,1252,600,-135.7,66.03
"Site 65 (Ritchie, J.C. 1974)",1218,1253,701,-135.65,66.05
"Saint-Jean Ile d'Orléans",1219,1254,68,-70.93278,46.93278
"Jewell Site",1220,1255,317,-93.7,42.26
"Grays Lake (US:Illinois)",1221,1256,235,-88.05,42.33
"Spiritwood Lake",1222,1257,437,-98.60348,47.06837
"Site 3 (McAndrews unpublished)",1223,1258,NA,-91.32,49.47
"Site 4 (McAndrews unpublished)",1224,1259,NA,-90.78,50.12
"Site 56 (Swain unpublished)",126,126,549,-77.05,41.87
"Site 5 (McAndrews unpublished)",1225,1260,NA,-90.67,50.23
"Site 6 (McAndrews unpublished)",1226,1261,NA,-90.48,50.42
"Site 7 (McAndrews unpublished)",1227,1262,375,-90.42,50.95
"Site 8 (McAndrews unpublished)",1228,1263,369,-90.17,51.35
"Site 9 (McAndrews unpublished)",1229,1264,374,-91.87,50.07
"Site 10 (McAndrews unpublished)",1230,1265,374,-91.97,50.02
"Site 11 (McAndrews unpublished)",1231,1266,372,-92.4,49.68
"Site 12 (McAndrews unpublished)",1232,1267,372,-92.35,49.55
"Site 13 (McAndrews unpublished)",1233,1268,445,-91.2,49.25
"Site 14 (McAndrews unpublished)",1234,1269,484,-90.05,48.93
"Site 57 (Swain unpublished)",127,127,457,-77.3,41.73
"Site 15 (McAndrews unpublished)",1235,1270,229,-88.12,49.22
"Site 16 (McAndrews unpublished)",1236,1271,338,-87.25,49.65
"Site 17 (McAndrews unpublished)",1237,1272,NA,-85.15,49.72194
"Site 18 (McAndrews unpublished)",1238,1273,218,-83.02,49.55
"Site 19 (McAndrews unpublished)",1239,1274,NA,-81.72,49.25
"Site 20 (McAndrews unpublished)",1240,1275,308,-80.85,48.55
"Site 21 (McAndrews unpublished)",1241,1276,320,-80.1,48.05
"Site 22 (McAndrews unpublished)",1242,1277,196,-88.8,48.33
"Bass Lake",1243,1278,224,-79.5,44.6
"Cowan Lake",1244,1279,268,-80.33,43.3
"Site 58 (Swain unpublished)",128,128,457,-76.72,41.88
"Wilcox Lake",1245,1280,304,-79.43,43.95
"Frair Lake",1246,1281,369,-79.47,46.45
"Thinn Lake",1247,1282,282,-79.28,44.95
"Lake Medad",1248,1283,102,-79.88,43.37
"JHMN01 (McAndrews and Wright 1969)",1249,1284,1463,-113.65,48.8
"JHMN02 (McAndrews and Wright 1969)",1250,1285,1463,-113.56667,48.83333
"JHMN03 (McAndrews and Wright 1969)",1251,1286,1372,-113.45,48.85
"JHMN04 (McAndrews and Wright 1969)",1252,1287,1463,-113.36667,48.83333
"JHMN05 (McAndrews and Wright 1969)",1253,1288,1585,-113.3,48.85
"JHMN06 (McAndrews and Wright 1969)",1254,1289,1524,-113.25,48.85
"Site 59 (Swain unpublished)",129,129,457,-76.23,41.9
"JHMN07 (McAndrews and Wright 1969)",1255,1290,1433,-113.16667,48.76667
"JHMN08 (McAndrews and Wright 1969)",1256,1291,1524,-113.11667,48.71667
"JHMN09 (McAndrews and Wright 1969)",1257,1292,1433,-113.11667,48.55
"JHMN10 (McAndrews and Wright 1969)",1258,1293,1402,-113.01667,48.61667
"JHMN11 (McAndrews and Wright 1969)",1259,1294,1402,-112.96667,48.53333
"JHMN12 (McAndrews and Wright 1969)",1260,1295,1280,-112.75,48.58333
"JHMN13 (McAndrews and Wright 1969)",1261,1296,1098,-112.18333,48.73333
"JHMN14 (McAndrews and Wright 1969)",1262,1297,1037,-111.91667,48.75
"JHMN15 (McAndrews and Wright 1969)",1263,1298,1037,-111.7,48.75
"JHMN16 (McAndrews and Wright 1969)",1264,1299,1067,-111.41667,48.75
"Site 60 (Swain unpublished)",130,130,335,-76.17,41.58
"JHMN17 (McAndrews and Wright 1969)",1265,1300,1250,-111.26667,48.88333
"JHMN18 (McAndrews and Wright 1969)",1266,1301,1341,-111.11667,48.91667
"JHMN19 (McAndrews and Wright 1969)",1267,1302,1341,-111.03333,48.88333
"Sharkey Lake",8551,13027,305,-93.4148,44.5909
"Sharkey Lake",8551,13028,305,-93.4148,44.5909
"Sharkey Lake",8551,13029,305,-93.4148,44.5909
"JHMN20 (McAndrews and Wright 1969)",1268,1303,1037,-110.98333,48.95
"Kimble Pond",8552,13030,311,-93.842,44.2178
"Kimble Pond",8552,13031,311,-93.842,44.2178
"Kimble Pond",8552,13032,311,-93.842,44.2178
"JHMN21 (McAndrews and Wright 1969)",1269,1304,1037,-110.88333,48.88333
"Irwin Smith Bog",8559,13045,223,-83.64,45.018
"Irwin Smith Bog",8559,13046,223,-83.64,45.018
"Irwin Smith Bog",8559,13047,223,-83.64,45.018
"JHMN22 (McAndrews and Wright 1969)",1270,1305,945,-110.5,48.88333
"West Olaf Lake",8561,13050,393,-96.198,46.5929
"West Olaf Lake",8561,13051,393,-96.198,46.5929
"Oak Glen Lake",8565,13056,391,-93.0876,43.9246
"Camp Lake",8566,13057,344,-95.398,45.3986
"Adeline Lake",8567,13059,418,-91.167,46.3017
"JHMN23 (McAndrews and Wright 1969)",1271,1306,823,-110.11667,48.8
"Adeline Lake",8567,13060,418,-91.167,46.3017
"Elevenses Lake",8572,13068,355,-91.497,46.38
"Elevenses Lake",8572,13069,355,-91.497,46.38
"JHMN24 (McAndrews and Wright 1969)",1272,1307,854,-109.86667,48.9
"Eska Lake",8573,13070,443,-90.61,45.1899
"Eska Lake",8573,13071,443,-90.61,45.1899
"Fallison Lake",8574,13072,501,-89.625,45.987
"Fallison Lake",8574,13073,501,-89.625,45.987
"JHMN25 (McAndrews and Wright 1969)",1273,1308,823,-109.61667,48.75
"JHMN26 (McAndrews and Wright 1969)",1274,1309,1067,-108.95,48.86667
"Horseshoe Lake",8585,13094,27,-90.09503,38.7018
"Horseshoe Lake",8585,13095,27,-90.09503,38.7018
"Glimmerglass Lake",8586,13096,522,-89.32331,46.21253
"Glimmerglass Lake",8586,13097,522,-89.32331,46.21253
"Site 61 (Swain unpublished)",131,131,427,-76.6,41.52
"JHMN27 (McAndrews and Wright 1969)",1275,1310,976,-108.66667,48.86667
"JHMN28 (McAndrews and Wright 1969)",1276,1311,915,-108.46667,48.86667
"JHMN29 (McAndrews and Wright 1969)",1277,1312,854,-108.13333,48.91667
"JHMN30 (McAndrews and Wright 1969)",1278,1313,854,-107.78333,48.83333
"JHMN31 (McAndrews and Wright 1969)",1279,1314,793,-107.58333,48.75
"JHMN32 (McAndrews and Wright 1969)",1280,1315,854,-107.28333,48.73333
"JHMN33 (McAndrews and Wright 1969)",1281,1316,793,-107.08333,48.8
"JHMN34 (McAndrews and Wright 1969)",1282,1317,793,-106.8,48.88333
"JHMN35 (McAndrews and Wright 1969)",1283,1318,945,-106.53333,48.88333
"JHMN36 (McAndrews and Wright 1969)",1284,1319,945,-106.23333,48.86667
"Site 62 (Swain unpublished)",132,132,335,-77.03,41.48
"JHMN37 (McAndrews and Wright 1969)",1285,1320,701,-103.16667,47.8
"JHMN38 (McAndrews and Wright 1969)",1286,1321,671,-102.7,47.96667
"JHMN39 (McAndrews and Wright 1969)",1287,1322,640,-102.03333,47.96667
"JHMN40 (McAndrews and Wright 1969)",1288,1323,640,-101.73333,47.96667
"JHMN41 (McAndrews and Wright 1969)",1289,1324,640,-101.21667,47.96667
"JHMN42",1290,1325,1071,-111.12,48.92
"JHMS06 (McAndrews and Wright 1969)",1291,1326,2043,-109.51667,42.31667
"JHMS07 (McAndrews and Wright 1969)",1292,1327,2134,-109.03333,42.3
"JHMS08 (McAndrews and Wright 1969)",1293,1328,2439,-108.86667,42.45
"JHMS09 (McAndrews and Wright 1969)",1294,1329,2500,-108.71667,42.55
"Site 63 (Swain unpublished)",133,133,305,-76.58,41.3
"JHMS10 (McAndrews and Wright 1969)",1295,1330,1524,-108.5,42.95
"JHMS11 (McAndrews and Wright 1969)",1296,1331,1494,-108.11667,43.36667
"JHMS12 (McAndrews and Wright 1969)",1297,1332,1524,-108.18333,43.46667
"JHMS13 (McAndrews and Wright 1969)",1298,1333,1235,-108.11667,43.8
"JHMS14 (McAndrews and Wright 1969)",1299,1334,1402,-107.53333,44.01667
