"sitename","siteid","datasetid","altitude","longitude","latitude","sitedescription","depositionalenvironment"
"Roberts Creek F-45",6485,10382,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek F-45A",6486,10383,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek CCEH-1",6487,10384,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek CCEH-1A",6488,10385,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek CCEH-2(2)B",6489,10386,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek RCBS",6490,10387,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB33",6491,10388,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB35",6492,10389,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"6 [HFL6]",1006,1039,57,-56.28333,52.55,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"Roberts Creek AB44",6493,10390,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB51",6495,10391,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB34",6497,10392,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek AB22A",6498,10393,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek CCLG-1A",6499,10394,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Roberts Creek DPS-9",6483,10395,308,-91.50028,42.98611,"Fluvial deposits in floodplain of Roberts Creek. Physiography: Driftless Area - rolling. Surrounding vegetation: Farmland.","Fluvial Origin Lake"
"Balsam Meadow",226,10399,2015,-119.25188,37.16024,"Small sedge meadow. Physiography: Sierra Nevada Mountain Range. Surrounding vegetation: Pinus jeffreyi, Pinus contorta, Abies.","Mire"
"Site 34 (Swain unpublished)",104,104,396,-91.47,45.82,NA,"Unknown"
"7 [HFL7]",1007,1040,73,-56.18333,52.6,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"Balsam Meadow",226,10400,2015,-119.25188,37.16024,"Small sedge meadow. Physiography: Sierra Nevada Mountain Range. Surrounding vegetation: Pinus jeffreyi, Pinus contorta, Abies.","Mire"
"Yellow Dog Pond",2948,10401,445,-87.94245,46.754925,"Small kettle lake in the Yellow Dog Plains (outwash). Pinus banksiana forest.","Kettle Lake"
"Moose Lake",6502,10402,350,-95.3108,49.21085,"glacial origin lake","Glacial Origin Lake"
"Julius Bog",6501,10403,280,-96.24795,49.9683,"large bog/fen complex surrounding Julius Lake","Bog"
"Sewell Lake",2290,10404,370,-99.5763,49.84135,"Interdunal swale. Physiography: Assiniboine fan, dunes and swales. Surrounding vegetation: prairie, scattered Picea glauca.","Interdunal Lake"
"Falcon Lake",6503,10405,328,-95.2408,49.7004,"glacial origin lake","Glacial Origin Lake"
"Pelican Lake",6504,10406,411,-99.54815,49.3392,"Lake is located in the Pembina River Valley, a large glacial meltwater channel.","Glacial Meltwater Channel Lake"
"8 [HFL8]",1008,1041,78,-56.38333,52.73333,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"9 [HFL9]",1009,1042,135,-56.66667,52.6,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"10 [HFL10]",1010,1043,221,-56.7,52.86667,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"11 [HFL11]",1011,1044,375,-57.03333,52.4,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"12 [HFL12]",1012,1045,337,-57.36667,52.5,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"13 [HFL13]",1013,1046,379,-57.43333,52.2,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"Abalone Rocks Marsh",8,10469,0,-119.97667,33.95639,"Small estuarine marsh. Physiography: Santa Rosa Island. Surrounding vegetation: coastal marsh and grassland.","Estuarine"
"14 [HFL14]",1014,1047,380,-57.71667,52.36667,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"15 [HFL15]",1015,1048,406,-57.81667,52.58333,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"16 [HFL16]",1016,1049,319,-57.83333,52.08333,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"Site 35 (Swain unpublished)",105,105,320,-90.97,45.9,NA,"Unknown"
"17 [HFL17]",1017,1050,319,-57.86667,52.08333,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"19 [HFL19]",1018,1051,357,-57.45,52.13333,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"20 [HFL20]",1019,1052,371,-57.55,52.2,"Small lake with no inflowing stream. Surrounding vegetation: muskeg.","Lacustrine"
"21 [HFL21]",1020,1053,220,-60.9,53.61667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"22 [HFL22]",1021,1054,136,-60.75,53.61667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"23 [HFL23]",1022,1055,295,-60.68333,53.63333,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"24 [HFL24]",1023,1056,255,-60.61667,53.6,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"25 [HFL25]",1024,1057,124,-60.31667,53.68333,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"26 [HFL26]",1025,1058,195,-60.23333,53.71667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"27 [HFL27]",1026,1059,160,-60.15,54.71667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-fir forest.","Lacustrine"
"Site 36 (Swain unpublished)",106,106,457,-90.62,45.83,NA,"Unknown"
"HFL28",1027,1060,285,-61.13333,54.3,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"29 [HFL29]",1028,1061,306,-61.15,54.36667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"30 [HFL30]",1029,1062,289,-61.25,54.41667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"HFL31",1030,1063,295,-61.28333,54.45,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"32 [HFL32]",1031,1064,290,-61.2,54.46667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"HFL33",1032,1065,126,-61.28333,54.56667,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"HFL34",1033,1066,280,-60.88333,54.3,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"HFL35",1034,1067,569,-62.73333,55.1,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL36",1035,1068,575,-62.73333,55.2,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"37 [HFL37]",1036,1069,623,-62.65,55.23333,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"Site 37 (Swain unpublished)",107,107,472,-90.3,45.6,NA,"Unknown"
"38 [HFL38]",1037,1070,570,-62.25,55.21667,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"39 [HFL39]",1038,1071,590,-62.2,55.1,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"40 [HFL40]",1039,1072,566,-62.45,54.88333,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL41",1040,1073,587,-62.35,54.8,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL42",1041,1074,578,-62.38333,54.81667,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL43",1042,1075,500,-63.08333,57.13333,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"44 [HFL44]",1043,1076,510,-63.16667,57.16667,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL45",1044,1077,410,-63.13333,57.28333,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL46",1045,1078,500,-62.8,57.33333,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"47 [HFL47]",1046,1079,470,-62.86667,57.26667,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"Site 38 (Swain unpublished)",108,108,472,-90.32,45.3,NA,"Unknown"
"HFL50",1047,1080,510,-64.53333,56.65,"Small lake with no inflowing stream. Surrounding vegetation: wet tundra.","Lacustrine"
"51 [HFL51]",1048,1081,523,-64.5,56.65,"Small lake with no inflowing stream. Surrounding vegetation: wet tundra.","Lacustrine"
"52 [HFL52]",1049,1082,510,-64.5,56.58333,"Small lake with no inflowing stream. Surrounding vegetation: wet tundra.","Lacustrine"
"HFL53",1050,1083,460,-64.25,56.36667,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"54 [HFL54]",1051,1084,480,-63.95,56.28333,"Small lake with no inflowing stream. Surrounding vegetation: wet tundra.","Lacustrine"
"55 [HFL55]",1052,1085,510,-64.18333,56.3,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"HFL56",1053,1086,470,-64.41667,56.16667,"Small lake with no inflowing stream. Surrounding vegetation: wet tundra.","Lacustrine"
"57 [HFL57]",1054,1087,559,-62.65,55.03333,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"58 [HFL58]",1055,1088,513,-62.73333,54.86667,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"59 [HFL59]",1056,1089,565,-62.71667,54.9,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"Site 39 (Swain unpublished)",109,109,305,-88.2,43.6,NA,"Unknown"
"60 [HFL60]",1057,1090,589,-63.03333,54.76667,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"61 [HFL61]",1058,1091,530,-63.25,54.86667,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"62 [HFL62]",1059,1092,507,-63.11667,54.6,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"63 [HFL63]",1060,1093,352,-63.03333,54.88333,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"HFL64",1061,1094,554,-63.11667,55.05,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"65 [HFL65]",1062,1095,545,-63.2,55.13333,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"HFL66",1063,1096,526,-63.38333,55.4,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"Northeast Shark River Slough",6505,10967,1,-80.58386,25.74642,"Cladium ridge in Northeast Shark River Slough in the Everglades.","Marsh"
"Snow Lake",1064,1097,522,-63.88333,56.63333,"Small lake in glacial valley. Physiography: glacial valley. Surrounding vegetation: moss/lichen/herb/shrub.","Lacustrine"
"South Heron Lake",6506,10970,428,-95.228,43.7195,"large shallow kettle lake. Original vegetation tall-grass prairie.","Kettle Lake"
"Ocheda Lake",6507,10971,476,-95.59275,43.56928,"Large shallow glacial kettle lake. Original vegetation tall-grass prairie. Agricultural today.","Kettle Lake"
"Hemlock Hollow",6510,10972,348,-72.178,42.5375,"A small hollow in the middle of a Tsuga stand. Surrounding vegetation: Ilex verticillata and Vaccinium corymbosum in the shallow center. Sedges, grasses, Osmunda cinnamomea, and Sphagnum around the margins.","Small Hollow"
"Blomford Lake",6511,10973,291,-93.1545,45.4935,"Glacial kettle lake.","Kettle Lake"
"Fawn Lake",6512,10974,274,-93.0532,45.4072,"Glacial kettle lake.","Kettle Lake"
"Frovold Lake",6513,10975,318,-95.5625,45.377,"Glacial kettle lake.","Kettle Lake"
"Goose Lake",6514,10976,334,-94.591,44.99,"Glacial kettle lake.","Kettle Lake"
"Olson Lake",6515,10977,379,-93.66005,46.51205,"Glacial kettle lake.","Kettle Lake"
"HFL68",1065,1098,500,-62.91667,57.33333,"Small lake with no inflowing stream. Surrounding vegetation: dry tundra.","Lacustrine"
"Little Dyke Lake",6519,10980,10,-63.55975,45.3855,"Kettle lake on the Folly River delta. Surrounding vegetation: Farmland in mixed forest.","Kettle Lake"
"Little Dyke Lake",6519,10981,10,-63.55975,45.3855,"Kettle lake on the Folly River delta. Surrounding vegetation: Farmland in mixed forest.","Kettle Lake"
"Round Grove Lake",6521,10983,318,-94.4935,44.709,NA,"Kettle Lake"
"69 [HFL69]",1066,1099,388,-62.03333,55.45,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"Site 40 (Swain unpublished)",110,110,283,-88.22,43.87,NA,"Unknown"
"HFL70",1067,1100,150,-62.66667,57.61667,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"HFL72",1068,1101,450,-62.88333,54.33333,"Small lake with no inflowing stream. Surrounding vegetation: forest tundra.","Lacustrine"
"HFL74",1069,1102,305,-61.11667,54.38333,"Small lake with no inflowing stream. Surrounding vegetation: Spruce-lichen woodland.","Lacustrine"
"Hickory Ridge Basin",1070,1103,167,-89.11333,38.94722,"Depression between outwash ridges. Physiography: Illinoian ridged drift. Surrounding vegetation: agricultural, maize and soybeans.","Glacial Origin Lake"
"Hidden Lake",1071,1104,86,-150.26272,60.483975,"Morainally dammed glacial scour lake. Physiography: Kenai mountains. Surrounding vegetation: Picea/Tsuga/Betula/Populus/Alnus/Salix.","Glacial Scour Lake"
"High Lake",1072,1105,192,-76.6,44.51667,"Closed lake in bedrock basin. Physiography: rough relief in Algonquin Highlands. Surrounding vegetation: Pinus/Picea/Tsuga/Abies/Acer/Quercus.","Glacial Origin Lake"
"Honeymoon Pond",1074,1107,1160,-138.4,64.63333,"Just inside terminal moraines. Physiography: Southern Ogilvie Ranges. Surrounding vegetation: shrub tundra, isolated Picea groves.","Glacial Origin Lake"
"Blocknic Lake [Horse Pond]",1076,1109,393,-95.86866,47.181535,"Kettle lake. Physiography: gently rolling ground moraine. Surrounding vegetation: cultivated fields and pasture.","Kettle Lake"
"Site 41 (Swain unpublished)",111,111,229,-87.87,43.85,NA,"Unknown"
"Horseshoe Lake",1077,1110,277,-93.04778,45.46028,"Lake in ice-block depression. Physiography: Anoka Sand Plain. Surrounding vegetation: Quercus ellipsoididalis, Q. macrocarpa.","Kettle Lake"
"Hostage Lake",1078,1111,368,-94.13333,46.55,"Kettle lake in pitted outwash plain. Physiography: Crow Wing Outwash Plain. Surrounding vegetation: Pinus banksiana forest.","Kettle Lake"
"Houston",1079,1112,564,-66.681155,54.72768,"Glacial scour lake in forest-tundra","Glacial Origin Lake"
"Houghton Bog",1080,1113,428,-78.67028,42.54167,"Sphagnum bog with Ericaceous shrubs. Physiography: ice block depres in Valley Heads moraine. Surrounding vegetation: Acer, Fagus, Tsuga forest.","Mire"
"Howes Prairie Marsh",1081,1114,185,-87.07222,41.65,"Interdunal depression (panné). Physiography: coastal dunes. Surrounding vegetation: oak-hickory forest, prairie.","Interdunal Lake"
"Site 1 (Delcourt 1978)",1082,1115,61,-89.27,35.48,NA,"Unknown"
"Site 2 (Delcourt 1978)",1083,1116,168,-87.78,35.9,NA,"Unknown"
"Site 3 (Delcourt 1978)",1084,1117,244,-87.55,35.95,NA,"Unknown"
"Site 4 (Delcourt 1978)",1085,1118,213,-86.3,36.08,NA,"Unknown"
"Site 5 (Delcourt 1978)",1086,1119,472,-85.12,35.43,NA,"Unknown"
"Site 42 (Swain unpublished)",112,112,223,-87.73,44.07,NA,"Unknown"
"Site 6 (Delcourt 1978)",1087,1120,305,-84.1,36.23,NA,"Unknown"
"Site 7 (Delcourt 1978)",1088,1121,549,-83.8,35.6,NA,"Unknown"
"Site 8 (Delcourt 1978)",1089,1122,1220,-83.43,35.63,NA,"Unknown"
"Site 9 (Delcourt 1978)",1090,1123,2024,-83.5,35.57,NA,"Unknown"
"Site 10 (Delcourt 1978)",1091,1124,1677,-83.47,35.6,NA,"Unknown"
"Site 11 (Delcourt 1978)",1092,1125,716,-83.32,35.55,NA,"Unknown"
"Site 12 (Delcourt 1978)",1093,1126,1372,-83.17,35.55,NA,"Unknown"
"Site 13 (Delcourt 1978)",1094,1127,457,-82.18,35.63,NA,"Unknown"
"Site 14 (Delcourt 1978)",1095,1128,351,-81.78,35.73,NA,"Unknown"
"Site 15 (Delcourt 1978)",1096,1129,335,-81.47,35.72,NA,"Unknown"
"Site 43 (Swain unpublished)",113,113,250,-88.07,44.15,NA,"Unknown"
"Site 16 (Delcourt 1978)",1097,1130,244,-80.72,35.23,NA,"Unknown"
"Site 17 (Delcourt 1978)",1098,1131,137,-88.27,36.03,NA,"Unknown"
"Hudson Lake",1100,1133,239,-86.53,41.67,NA,"Lacustrine"
"Hug Lake",1101,1134,570,-90.93333,47.95833,"Kettle lake. Physiography: gently sloping till plain. Surrounding vegetation: Betula/Populus/Alnus/Corylus.","Kettle Lake"
"Humber Pond 3",1102,1135,74,-79.48,43.64,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.","Fluvial Origin Lake"
"Humber Pond 5",1103,1136,74,-79.49,43.64,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.","Fluvial Origin Lake"
"Humber Pond 7",1104,1137,74,-79.5,43.65,"Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.","Fluvial Origin Lake"
"Hustler Lake",1105,1138,401,-92.16005,48.229815,"Drainage lake in Boundary Waters Area. Surrounding vegetation: pine/aspen/spruce.","Glacial Origin Lake"
"Hynes Brook Salt Marsh",1106,1139,0,-58.965,48.61861,"Salt marsh in stream channel. Physiography: salt marsh. Surrounding vegetation: salt marsh.","Coastal"
"Site 44 (Swain unpublished)",114,114,226,-87.73,44.28,NA,"Unknown"
"Icehouse Bottom [40MR23]",1107,1140,239,-84.19167,35.58833,"Backswamp deposits under archeol. site. Physiography: first terrace Little Tennessee River. Surrounding vegetation: agricultural.","Fluvial"
"Iglutalik Lake",1109,1142,90,-66.08333,66.135,NA,"Lacustrine"
"Indian Lake",1113,1146,383,-90.45,50.91667,"Large lake surrounded by glacial deposit. Physiography: thin commonly drumlinized till. Surrounding vegetation: black spruce/Jack pine/larch.","Glacial Origin Lake"
"Indian Lake",1113,1147,383,-90.45,50.91667,"Large lake surrounded by glacial deposit. Physiography: thin commonly drumlinized till. Surrounding vegetation: black spruce/Jack pine/larch.","Glacial Origin Lake"
"Indian Prairie Fen",1114,1148,988,-122.575,44.63333,"Fen in cirque valley. Physiography: Cascade Range. Surrounding vegetation: 2nd growth Pseudotsuga and Abies procera.","Fen"
"Inglesby Lake",1115,1149,167,-77.05,44.48333,"Marl-deposting lake of glacial origin.","Glacial Origin Lake"
"Site 45 (Swain unpublished)",115,115,244,-87.87,44.42,NA,"Unknown"
"Iola Bog",1117,1151,258,-89.11694,44.5,"Steep sided kettle pond. Physiography: Cary ground moraine. Surrounding vegetation: moses, Ericaceae, sedges, Laris, Spruce.","Bog"
"Keystone Iron Fen",1118,1152,2920,-107.03333,38.865,"Iron oxide acid fen. Physiography: small basin behind moraine along creek. Surrounding vegetation: Carex, Sphagnum, Eriophorum, Betula glandulosa.","Fen"
