"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","name","notes","hasradiocarbon","altitude","longitude","latitude","error"
1003,972,"Hanging Lake",2886,"Radiocarbon",17700,280.5,33090,0,16940,18460,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,760
1003,972,"Hanging Lake",2887,"Radiocarbon",16800,295.5,33090,0,16160,17440,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,640
1003,972,"Hanging Lake",2888,"Radiocarbon",20200,305.5,33090,0,19180,21220,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,1020
1003,972,"Hanging Lake",2889,"Radiocarbon",20200,320.5,33090,0,18880,21520,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,1320
1003,972,"Hanging Lake",2890,"Radiocarbon",24900,329.75,33090,0,23700,26100,"NAPD 1","Chron uses top and 21 corrected C14 dates. Equation of the line is Y = 150.007x - 0.835912x2 + 0.00180582x3.",TRUE,500,-138.38333,68.38333,1200
1004,973,"Hansen Marsh",2893,"Radiocarbon",10735,91.5,11030,10020,10630,10840,"NAPD 1","Chron uses top, one C14 date, pollen strat. date for Picea decline, and time of deglaciation set at 14000 years BP.",TRUE,381,-89.67916,-89.66247,105
1006,975,"Harding Lake",2913,"Radiocarbon",8680,170,13900,20,8460,8900,"NAPD 1","Chron uses top and four C14 dates.",TRUE,NA,-146.9075,64.44444,220
1006,975,"Harding Lake",2914,"Radiocarbon",9860,210,13900,20,9620,10100,"NAPD 1","Chron uses top and four C14 dates.",TRUE,NA,-146.9075,64.44444,240
1006,975,"Harding Lake",2915,"Radiocarbon",11300,275,13900,20,11000,11600,"NAPD 1","Chron uses top and four C14 dates.",TRUE,NA,-146.9075,64.44444,300
1006,975,"Harding Lake",2916,"Radiocarbon",13690,407.5,13900,20,12690,14690,"NAPD 1","Chron uses top and four C14 dates.",TRUE,NA,-146.9075,64.44444,1000
1007,976,"Lac Harriman",2918,"Radiocarbon",13400,505,11680,0,13130,13670,"Jetté and Richard 1992",NA,TRUE,65,-65.83889,48.2375,270
1008,977,"Harrie Lake",2920,"Radiocarbon",2440,745,6360,-10,2380,2510,"NAPD 1 (radiocarbon years)","Chron uses top, 6 14C dates, extrapolated age of the base of the gyttja, and estimated time of deglaciation (for details see King 1986).",TRUE,530,-66.95,52.93333,65
1008,977,"Harrie Lake",2921,"Radiocarbon",3290,846,6360,-10,3210,3370,"NAPD 1 (radiocarbon years)","Chron uses top, 6 14C dates, extrapolated age of the base of the gyttja, and estimated time of deglaciation (for details see King 1986).",TRUE,530,-66.95,52.93333,80
1008,977,"Harrie Lake",2922,"Radiocarbon",4250,946,6360,-10,4170,4330,"NAPD 1 (radiocarbon years)","Chron uses top, 6 14C dates, extrapolated age of the base of the gyttja, and estimated time of deglaciation (for details see King 1986).",TRUE,530,-66.95,52.93333,80
1008,977,"Harrie Lake",2923,"Radiocarbon",4500,1026,6360,-10,4420,4580,"NAPD 1 (radiocarbon years)","Chron uses top, 6 14C dates, extrapolated age of the base of the gyttja, and estimated time of deglaciation (for details see King 1986).",TRUE,530,-66.95,52.93333,80
1008,977,"Harrie Lake",2924,"Radiocarbon",4990,1098,6360,-10,4910,5070,"NAPD 1 (radiocarbon years)","Chron uses top, 6 14C dates, extrapolated age of the base of the gyttja, and estimated time of deglaciation (for details see King 1986).",TRUE,530,-66.95,52.93333,80
1008,977,"Harrie Lake",2925,"Radiocarbon",6030,1135,6360,-10,5920,6140,"NAPD 1 (radiocarbon years)","Chron uses top, 6 14C dates, extrapolated age of the base of the gyttja, and estimated time of deglaciation (for details see King 1986).",TRUE,530,-66.95,52.93333,110
1010,979,"Hawke Hills Kettle",2946,"Radiocarbon",3160,73,7490,-30,3075,3245,"NAPD 1","Chron uses 3 radiocarbon dates plus surface (-27 BP).",TRUE,220,-53.13333,47.32222,85
1010,979,"Hawke Hills Kettle",2947,"Radiocarbon",4660,173,7490,-30,4575,4745,"NAPD 1","Chron uses 3 radiocarbon dates plus surface (-27 BP).",TRUE,220,-53.13333,47.32222,85
1010,979,"Hawke Hills Kettle",2948,"Radiocarbon",7290,240,7490,-30,7140,7440,"NAPD 1","Chron uses 3 radiocarbon dates plus surface (-27 BP).",TRUE,220,-53.13333,47.32222,150
1013,982,"Hay Lake",2955,"Radiocarbon",4070,50.5,44700,100,4010,4130,"NAPD 1","Chron uses surface (0 BP) plus 6 radiocarbon dates. Same as chron in Jacobs (1985) except surface date is fixed at 0 BP.",TRUE,2780,-109.425,34,60
1013,982,"Hay Lake",2956,"Radiocarbon",12060,103.5,44700,100,11000,13120,"NAPD 1","Chron uses surface (0 BP) plus 6 radiocarbon dates. Same as chron in Jacobs (1985) except surface date is fixed at 0 BP.",TRUE,2780,-109.425,34,1060
1013,982,"Hay Lake",2957,"Radiocarbon",13710,161,44700,100,13070,14350,"NAPD 1","Chron uses surface (0 BP) plus 6 radiocarbon dates. Same as chron in Jacobs (1985) except surface date is fixed at 0 BP.",TRUE,2780,-109.425,34,640
1013,982,"Hay Lake",2958,"Radiocarbon",24550,212,44700,100,22710,26390,"NAPD 1","Chron uses surface (0 BP) plus 6 radiocarbon dates. Same as chron in Jacobs (1985) except surface date is fixed at 0 BP.",TRUE,2780,-109.425,34,1840
1013,982,"Hay Lake",2959,"Radiocarbon",25920,249.5,44700,100,19920,31920,"NAPD 1","Chron uses surface (0 BP) plus 6 radiocarbon dates. Same as chron in Jacobs (1985) except surface date is fixed at 0 BP.",TRUE,2780,-109.425,34,6000
1013,982,"Hay Lake",2960,"Radiocarbon",37000,341,44700,100,32000,42000,"NAPD 1","Chron uses surface (0 BP) plus 6 radiocarbon dates. Same as chron in Jacobs (1985) except surface date is fixed at 0 BP.",TRUE,2780,-109.425,34,5000
1024,992,"Headwaters Lake",2969,"Radiocarbon",3520,72,11950,0,3420,3620,"Brubaker et al. 1983","Fit a 3rd order polynomial (least squares) following Brubaker et al. 1983, but with surface-sediment age held constant. Coefs: 0.0, 65.3932, -0.287485, 0.000809154. Chron uses 3 radiocarbon dates plus sediment surface.",TRUE,820,-155.05,67.93333,100
1024,992,"Headwaters Lake",2970,"Radiocarbon",6860,172,11950,0,6750,6970,"Brubaker et al. 1983","Fit a 3rd order polynomial (least squares) following Brubaker et al. 1983, but with surface-sediment age held constant. Coefs: 0.0, 65.3932, -0.287485, 0.000809154. Chron uses 3 radiocarbon dates plus sediment surface.",TRUE,820,-155.05,67.93333,110
1024,992,"Headwaters Lake",2971,"Radiocarbon",11750,259.5,11950,0,11600,11900,"Brubaker et al. 1983","Fit a 3rd order polynomial (least squares) following Brubaker et al. 1983, but with surface-sediment age held constant. Coefs: 0.0, 65.3932, -0.287485, 0.000809154. Chron uses 3 radiocarbon dates plus sediment surface.",TRUE,820,-155.05,67.93333,150
1025,993,"Healy Lake",2977,"Radiocarbon",1430,55.5,7720,0,1260,1600,"NAPD 1","Chron uses top, one C14 date, and one pollen stratigraphic date (Alnus decline 7200±400) extrapolated from Ten Mile Lake.",TRUE,343,-144.75,64,170
1028,996,"Hebron Lake",2986,"Radiocarbon",5600,335,8860,0,5506,5708,"COHMAP chron 1","Chron uses 3 C-14 dates, top of core at 250cm. 8950 date estimate for 400 cm. by H.F. Lamb (1982, Ph.D thesis). S.K. Short (1981) got a 169 cm core from Hebron with a basal date of 10,075 +/- 255 yr. b.p. fits by extrapolation says Lamb.",TRUE,170,-63.03333,58.2,101
1028,996,"Hebron Lake",2987,"Radiocarbon",7290,360,8860,0,7190,7394,"COHMAP chron 1","Chron uses 3 C-14 dates, top of core at 250cm. 8950 date estimate for 400 cm. by H.F. Lamb (1982, Ph.D thesis). S.K. Short (1981) got a 169 cm core from Hebron with a basal date of 10,075 +/- 255 yr. b.p. fits by extrapolation says Lamb.",TRUE,170,-63.03333,58.2,102
1028,996,"Hebron Lake",2988,"Radiocarbon",8350,387.5,8860,0,8180,8520,"COHMAP chron 1","Chron uses 3 C-14 dates, top of core at 250cm. 8950 date estimate for 400 cm. by H.F. Lamb (1982, Ph.D thesis). S.K. Short (1981) got a 169 cm core from Hebron with a basal date of 10,075 +/- 255 yr. b.p. fits by extrapolation says Lamb.",TRUE,170,-63.03333,58.2,170
1030,997,"Hedrick Pond",2990,"Radiocarbon",2190,155,17410,0,2070,2310,"NAPD 1","Chron uses the surface date (0 BP) and 5 radiocarbon dates.",TRUE,2073,-110.6,43.75,120
1030,997,"Hedrick Pond",2991,"Radiocarbon",4210,335,17410,0,4050,4370,"NAPD 1","Chron uses the surface date (0 BP) and 5 radiocarbon dates.",TRUE,2073,-110.6,43.75,160
1030,997,"Hedrick Pond",2992,"Radiocarbon",11340,545,17410,0,11140,11540,"NAPD 1","Chron uses the surface date (0 BP) and 5 radiocarbon dates.",TRUE,2073,-110.6,43.75,200
1030,997,"Hedrick Pond",2993,"Radiocarbon",14580,596,17410,0,14280,14880,"NAPD 1","Chron uses the surface date (0 BP) and 5 radiocarbon dates.",TRUE,2073,-110.6,43.75,300
1030,997,"Hedrick Pond",2994,"Radiocarbon",17160,663.5,17410,0,16740,17580,"NAPD 1","Chron uses the surface date (0 BP) and 5 radiocarbon dates.",TRUE,2073,-110.6,43.75,420
1031,998,"Helmetta Bog",2997,"Radiocarbon",9640,205,10000,0,9580,9700,"COHMAP chron 1","1 C-14 date, ragweed rise between 50 and 70 cm. Best to use data from 10k, 9k, 500, and 0 years bp only. Age bounds for application of the model: top = 0; bottom = 10000.",TRUE,15,-74.43333,40.38333,60
1033,1000,"Tourbière de Lanoraie HENRI",3013,"Radiocarbon",700,50,5700,280,600,800,"NAPD 1",NA,TRUE,18,-73.3,45.98889,100
1033,1000,"Tourbière de Lanoraie HENRI",3014,"Radiocarbon",2930,130,5700,280,2790,3070,"NAPD 1",NA,TRUE,18,-73.3,45.98889,140
1033,1000,"Tourbière de Lanoraie HENRI",3015,"Radiocarbon",3360,210,5700,280,3230,3490,"NAPD 1",NA,TRUE,18,-73.3,45.98889,130
1033,1000,"Tourbière de Lanoraie HENRI",3016,"Radiocarbon",5960,477.5,5700,280,5830,6090,"NAPD 1",NA,TRUE,18,-73.3,45.98889,130
10981,6519,"Little Dyke Lake",16350,"Radiocarbon",10320,635.5,11600,9680,10160,10480,"NAPD 1","Chron is based on the AMS 14C dates. The age of the core bottom is a guess based on other cores from the region.",TRUE,10,-63.5625,-63.557,160
10981,6519,"Little Dyke Lake",16351,"Radiocarbon",10930,661.5,11600,9680,10710,11150,"NAPD 1","Chron is based on the AMS 14C dates. The age of the core bottom is a guess based on other cores from the region.",TRUE,10,-63.5625,-63.557,220
10981,6519,"Little Dyke Lake",16352,"Radiocarbon",11560,670,11600,9680,11380,11740,"NAPD 1","Chron is based on the AMS 14C dates. The age of the core bottom is a guess based on other cores from the region.",TRUE,10,-63.5625,-63.557,180
1104,1071,"Hidden Lake",3018,"Radiocarbon",2730,76.5,14420,30,2650,2810,"NAPD 1","Chron uses top and five C14 dates. An equation for a line of best fit by Rymer and Sims 1982 was not used as it led to negative age values. The equation is y=-1689.52+60.20x.",TRUE,NA,-144.65833,63.94,80
1104,1071,"Hidden Lake",3019,"Radiocarbon",6040,126,14420,30,5560,6520,"NAPD 1","Chron uses top and five C14 dates. An equation for a line of best fit by Rymer and Sims 1982 was not used as it led to negative age values. The equation is y=-1689.52+60.20x.",TRUE,NA,-144.65833,63.94,480
1104,1071,"Hidden Lake",3020,"Radiocarbon",10380,210,14420,30,10220,10540,"NAPD 1","Chron uses top and five C14 dates. An equation for a line of best fit by Rymer and Sims 1982 was not used as it led to negative age values. The equation is y=-1689.52+60.20x.",TRUE,NA,-144.65833,63.94,160
1104,1071,"Hidden Lake",3021,"Radiocarbon",12820,235,14420,30,12560,13080,"NAPD 1","Chron uses top and five C14 dates. An equation for a line of best fit by Rymer and Sims 1982 was not used as it led to negative age values. The equation is y=-1689.52+60.20x.",TRUE,NA,-144.65833,63.94,260
1104,1071,"Hidden Lake",3022,"Radiocarbon",13730,255,14420,30,13510,13950,"NAPD 1","Chron uses top and five C14 dates. An equation for a line of best fit by Rymer and Sims 1982 was not used as it led to negative age values. The equation is y=-1689.52+60.20x.",TRUE,NA,-144.65833,63.94,220
1105,1072,"High Lake",3032,"Radiocarbon",1485,830,9490,0,1395,1575,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,90
1105,1072,"High Lake",3033,"Radiocarbon",2725,940,9490,0,2635,2815,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,90
1105,1072,"High Lake",3034,"Radiocarbon",4060,1060,9490,0,3970,4150,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,90
1105,1072,"High Lake",3035,"Radiocarbon",5200,1130,9490,0,5100,5300,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,100
1105,1072,"High Lake",3036,"Radiocarbon",6865,1190,9490,0,6765,6965,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,100
1105,1072,"High Lake",3037,"Radiocarbon",8435,1260,9490,0,8335,8535,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,100
1105,1072,"High Lake",3038,"Radiocarbon",9415,1330,9490,0,9315,9515,"NAPD 1","Chron uses top and 7 C14 dates. SRR-4946 considered to old.",TRUE,192,-76.6,44.51667,100
1107,1074,"Honeymoon Pond",3040,"Radiocarbon",1590,57.5,NA,NA,1490,1690,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,100
1107,1074,"Honeymoon Pond",3041,"Radiocarbon",2410,112.5,NA,NA,2270,2550,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,140
1107,1074,"Honeymoon Pond",3042,"Radiocarbon",3240,157.5,NA,NA,3120,3360,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,120
1107,1074,"Honeymoon Pond",3043,"Radiocarbon",3840,197.5,NA,NA,3680,4000,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,160
1107,1074,"Honeymoon Pond",3044,"Radiocarbon",4290,222.5,NA,NA,4150,4430,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,140
1107,1074,"Honeymoon Pond",3045,"Radiocarbon",5390,241.5,NA,NA,5270,5510,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,120
1107,1074,"Honeymoon Pond",3046,"Radiocarbon",6050,267.5,NA,NA,5890,6210,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,160
1107,1074,"Honeymoon Pond",3047,"Radiocarbon",6480,282.5,NA,NA,6320,6640,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,160
1107,1074,"Honeymoon Pond",3048,"Radiocarbon",6620,290.5,NA,NA,6420,6820,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1107,1074,"Honeymoon Pond",3049,"Radiocarbon",6770,302.5,NA,NA,6630,6910,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,140
1107,1074,"Honeymoon Pond",3050,"Radiocarbon",6680,312.5,NA,NA,6520,6840,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,160
1107,1074,"Honeymoon Pond",3051,"Radiocarbon",8970,322.5,NA,NA,8520,9370,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,425
1107,1074,"Honeymoon Pond",3052,"Radiocarbon",7770,332.5,NA,NA,7570,7970,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1107,1074,"Honeymoon Pond",3053,"Radiocarbon",7300,355,NA,NA,7100,7500,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1107,1074,"Honeymoon Pond",3054,"Radiocarbon",8900,362.5,NA,NA,8700,9100,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1107,1074,"Honeymoon Pond",3055,"Radiocarbon",9260,370,NA,NA,9060,9460,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1107,1074,"Honeymoon Pond",3056,"Radiocarbon",9220,373.5,NA,NA,9060,9380,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,160
1107,1074,"Honeymoon Pond",3057,"Radiocarbon",9540,377,NA,NA,9340,9740,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1107,1074,"Honeymoon Pond",3058,"Radiocarbon",9390,389.5,NA,NA,9190,9590,"Cwynar and Spear 1991","Chron uses 19 radiocarbon dates and surface (0 BP). Coefs: 253.176, 15.2216, 0.022699.",TRUE,1160,-138.4,64.63333,200
1113,1080,"Houghton Bog",3119,"Radiocarbon",11880,990,11900,-20,10420,13340,"NAPD 1","Chron uses top, 1 C14 date, and Ambrosia rise at 15cm.",TRUE,428,-78.67028,42.54167,1460
