"siteID","sitename","lon","lat","datasetid","handle","bestacc","acc.shape.old","hiatus","acc.mean.mod","acc.shape.mod","bestthick","mem.mean","mem.strength","reliableold","reliableyoung","notes_selection","description",
948,"Gravel Ridge",-62.633333,55.033333,978,"GRAVEL",20,0.9,0,3.02,0.53,20,0.5,2,5411,3617,"FALSE","Bedrock hollow. Physiography: Harp lake uplands. Surrounding vegetation: tundra/Picea.",
953,"Green Pond",-74.49534,41.005055,983,"GREENNJ",50,0.9,0,3.02,0.53,5,0.5,2,274,-21,"FALSE","Small lake. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest.",
956,"Grenadier Pond",-79.47,43.64,986,"GRENADIE",5,0.9,0,3.02,0.53,20,0.5,2,4598,-21,"FALSE","Pond isolated by a bar from Lake Ontario.",
957,"Grey Islands",-55.516667,50.768889,987,"GREYIS",5,0.9,0,3.02,0.53,20,0.5,2,4208,-36,"FALSE","Stream fed lake w/in exposed bedrock. Physiography: Appalachain Phys Reg, uplands. Surrounding vegetation: dwarf shrub barrens, some black spruce.",
961,"Water Conservation Area 3B, Gumbo Limbo Dry Head",-80.505556,25.773889,992,"GUMLIMDH",100,0.9,0,3.02,0.53,10,0.5,2,1664,-38,"FALSE","Tree island near marsh. Physiography: coastal plain. Surrounding vegetation: Rivina, Acrostichum, Bursera, Saururus.",
962,"Water Conservation Area 3B, Gumbo Limbo Far Tail",-80.505556,25.774722,993,"GUMLIMFT",100,0.9,0,3.02,0.53,15,0.5,2,4536,-39,"FALSE","Marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Cladium, Cephalanthus, Ludwigia.",
963,"Water Conservation Area 3B, Gumbo Limbo Marsh",-80.511111,25.778889,994,"GUMLIMM",100,0.9,0,3.02,0.53,5,0.5,2,4299,-34,"FALSE","Cladium marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Bacopa, Eleocharis, Utricularia, Cladium.",
964,"Water Conservation Area 3B, Gumbo Limbo Near Tail",-80.561389,25.886944,995,"GUMLIMNT",100,0.9,0,3.02,0.53,10,0.5,2,3626,171,"FALSE","Marsh near tree island. Physiography: coastal plain. Surrounding vegetation: Peltandra, Thelypteris, Blechum, Annona.",
969,"Hafichuk Site",-105.883889,50.320556,1000,"HAFICHUK",5,0.9,0,3.02,0.53,20,0.5,2,13089,12117,"FALSE","Ephemeral prairie pothole pond. Physiography: disintegration moraine.",
970,"Hail Lake",-129.016667,60.033333,1001,"HAIL",20,0.9,0,3.02,0.53,20,0.5,2,2778,24,"FALSE","Small lake. Surrounding vegetation: Picea mariana, P. glauca, Pinus contorta.",
971,"Hams Lake",-80.413333,43.236667,1002,"HAMSLAKE",50,0.9,0,3.02,0.53,15,0.5,2,5192,-28,"FALSE","Kettle lake. Physiography: glacial moraine. Surrounding vegetation: beech-maple forest, near oak plains.",
977,"Harrie Lake",-66.95,52.933333,1008,"HARRIE",50,0.9,0,3.02,0.53,15,0.5,2,5682,-4,"FALSE","Fluvial origin, gently rolling terrain. Physiography: Lake Plateau. Surrounding vegetation: lichen woodland, black and white spruce.",
1000,"Tourbi�re de Lanoraie HENRI",-73.3,45.988889,1033,"HEN",10,0.9,0,3.02,0.53,20,0.5,2,2755,244,"FALSE","Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari.",
1064,"Snow Lake",-63.883333,56.633333,3771,"SNOW",50,0.9,0,3.02,0.53,15,0.5,2,2934,2739,"FALSE","Small lake in glacial valley. Physiography: glacial valley. Surrounding vegetation: moss/lichen/herb/shrub.",
1072,"High Lake",-76.6,44.516667,1105,"HIGHLAKE",10,0.9,0,3.02,0.53,15,0.5,2,5638,1,"FALSE","Closed lake in bedrock basin. Physiography: rough relief in Algonquin Highlands. Surrounding vegetation: Pinus/Picea/Tsuga/Abies/Acer/Quercus.",
1074,"Honeymoon Pond",-138.4,64.633333,1107,"HONEYMOO",50,0.9,0,3.02,0.53,5,0.5,2,8476,29,"FALSE","Just inside terminal moraines. Physiography: Southern Ogilvie Ranges. Surrounding vegetation: shrub tundra, isolated Picea groves.",
1077,"Horseshoe Lake",-93.047778,45.460278,1110,"HORSHOHA",50,0.9,0,3.02,0.53,20,0.5,2,11314,11135,"FALSE","Lake in ice-block depression. Physiography: Anoka Sand Plain. Surrounding vegetation: Quercus ellipsoididalis, Q. macrocarpa.",
1078,"Hostage Lake",-94.133333,46.55,1111,"HOSTAGE",20,0.9,0,3.02,0.53,20,0.5,2,2063,-30,"FALSE","Kettle lake in pitted outwash plain. Physiography: Crow Wing Outwash Plain. Surrounding vegetation: Pinus banksiana forest.",
1081,"Howes Prairie Marsh",-87.072222,41.65,1114,"HOWES",100,0.9,0,3.02,0.53,5,0.5,2,4040,-6,"FALSE","Interdunal depression (pann�). Physiography: coastal dunes. Surrounding vegetation: oak-hickory forest, prairie.",
1101,"Hug Lake",-90.933333,47.958333,1134,"HUGLAKE",5,0.9,0,3.02,0.53,5,0.5,2,43,-11,"FALSE","Kettle lake. Physiography: gently sloping till plain. Surrounding vegetation: Betula/Populus/Alnus/Corylus.",
1102,"Humber Pond 3",-79.48,43.64,1135,"HUMBER3",5,0.9,0,3.02,0.53,20,0.5,2,4148,-27,"FALSE","Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.",
1103,"Humber Pond 5",-79.49,43.64,1136,"HUMBER5",5,0.9,0,3.02,0.53,20,0.5,2,4345,-25,"FALSE","Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.",
1104,"Humber Pond 7",-79.5,43.65,1137,"HUMBER7",5,0.9,0,3.02,0.53,20,0.5,2,3384,-23,"FALSE","Floodplain pond. Physiography: Humber River floodplain. Surrounding vegetation: urban Toronto.",
1105,"Hustler Lake",-92.158333,48.233333,1138,"HUSTLER",5,0.9,0,3.02,0.53,5,0.5,2,44,-33,"FALSE","Drainage lake in Boundary Waters Area. Surrounding vegetation: pine/aspen/spruce.",
1106,"Hynes Brook Salt Marsh",-58.965,48.618611,1139,"HYNES",10,0.9,0,3.02,0.53,20,0.5,2,1618,7,"FALSE","Salt marsh in stream channel. Physiography: salt marsh. Surrounding vegetation: salt marsh.",
1109,"Iglutalik Lake",-66.083333,66.135,1142,"IGLUTALK",20,0.9,0,3.02,0.53,20,0.5,2,6763,5499,"FALSE","NA",
1114,"Indian Prairie Fen",-122.575,44.633333,1148,"INDIANPF",20,0.9,0,3.02,0.53,15,0.5,2,8739,4742,"FALSE","Fen in cirque valley. Physiography: Cascade Range. Surrounding vegetation: 2nd growth Pseudotsuga and Abies procera.",
1115,"Inglesby Lake",-77.05,44.483333,1149,"INGLESBY",20,0.9,0,3.02,0.53,20,0.5,2,10341,7940,"FALSE","Marl-deposting lake of glacial origin.",
1119,"Irvin Lake",-93.643611,47.135556,1153,"IRVIN",20,0.9,0,3.02,0.53,20,0.5,2,4793,-29,"FALSE","Kettle lake. Physiography: Sugar Hills area, rough rolling topo. Surrounding vegetation: Alnus, Fraxinus, Betula, Thuja, Abies.",
1136,"James Bay",-80.2,50.22,1171,"JBL004",50,0.9,0,3.02,0.53,15,0.5,2,469,-22,"FALSE","NA",
1219,"Saint-Jean Ile d'Orl�ans",-70.932778,46.932778,1254,"JEAN",50,0.9,0,3.02,0.53,10,0.5,2,2223,163,"FALSE","Ombrotrophic bog, ericaceous, treed. Physiography: rock basin and clay veneer, plateau. Surrounding vegetation: Tilio - Aceretum sacchari.",
1222,"Spiritwood Lake",-98.5866,47.074695,3774,"SPIRITWD",50,0.9,0,3.02,0.53,20,0.5,2,8921,-17,"FALSE","Lake lies in the Spiritwood chain of lakes, which lies in the Spiritwood buried valley complex.  Physiography: rolling collapse moraine. Surrounding vegetation: agricultural, sparse Ulmus, Quercus.",
1362,"Tourbi�re de Lanoraie JOSEPH",-73.302778,45.991944,1397,"JOS",10,0.9,0,3.02,0.53,20,0.5,2,1464,1,"FALSE","Ombrotrophic bog, ericaceous cover. Physiography: dissected deltaic plain. Surrounding vegetation: Caryo - Aceretum sacchari.",
1416,"Marais de Keswick",-79.512778,44.195833,3454,"KESV",10,0.9,0,3.02,0.53,15,0.5,2,1461,16,"FALSE","Marginal marsh of Simcoe lake. Physiography: remnant of Algonquin proglacial lake. Surrounding vegetation: Tilio - Aceretum sacchari.",
1485,"Kirk Lake",-121.616667,48.233333,1523,"KIRK",50,0.9,0,3.02,0.53,15,0.5,2,13178,-19,"FALSE","Small lake. Physiography: North Cascade range mountains.",
1526,"Kylen Lake",-91.8,47.35,1564,"KYLENLK",50,0.9,0,3.02,0.53,15,0.5,2,12842,11489,"FALSE","NA",
1530,"Lake Lacawac",-75.292778,41.381944,1568,"LACAWAC",20,0.9,0,3.02,0.53,10,0.5,2,339,-32,"FALSE","Lake. Physiography: glaciated mountains. Surrounding vegetation: mixed deciduous/coniferous forest.",
1531,"Lac Colin",-70.3,46.716667,1569,"LACCOLIN",50,0.9,0,3.02,0.53,10,0.5,2,8657,91,"FALSE","NA",
1532,"Lac Hamard",-67.5,54.8,1570,"LACHAMAR",100,0.9,0,3.02,0.53,10,0.5,2,6542,56,"FALSE","NA",
1534,"Lac � Magie",-66.079167,44.263889,1572,"LACMAGIE",50,0.9,0,3.02,0.53,5,0.5,2,12100,11888,"FALSE","Small lake with steep sloping sides. Physiography: broad rolling lowland, Appalachian Prov.. Surrounding vegetation: Rubus, Myrica, Acer, Larix, Betula, Pice.",
1541,"Lake 27",-84.783333,45.066667,1581,"LAKE27",50,0.9,0,3.02,0.53,15,0.5,2,1143,239,"FALSE","NA",
1542,"Lake 31",-50.466667,67.05,1582,"LAKE31",50,0.9,0,3.02,0.53,5,0.5,2,3102,4006,"FALSE","Lake in former braided meltwater system. Physiography: glacialfluvial valley. Surrounding vegetation: shrub tundra and xerophyllous grassland.",
1547,"Lake BN7",-73.516667,55.009167,1587,"LAKEBN7",100,0.9,0,3.02,0.53,10,0.5,2,6297,-39,"FALSE","Shallow lake, streamflow in and out. Physiography: Canadian shield, low relief. Surrounding vegetation: open lichen woodland.",
1549,"Lake CH2",-74.583333,49.683333,1590,"LAKECH2",50,0.9,0,3.02,0.53,10,0.5,2,5081,2198,"FALSE","Small lake. Physiography: Canadian Shield. Surrounding vegetation: boreal forest.",
1550,"Lake EC1",-75.1,56.283333,1591,"LAKEEC1",100,0.9,0,3.02,0.53,10,0.5,2,6531,20,"FALSE","Small lake.",
1553,"Lake GB1",-75.248889,55.110833,1594,"LAKEGB1",100,0.9,0,3.02,0.53,15,0.5,2,6320,1,"FALSE","Small lake on top of hill. Physiography: Canadian shield. Surrounding vegetation: open lichen woodland, burned in 1940s.",
1554,"Lake GB2",-75.283333,56.1,1595,"LAKEGB2",50,0.9,0,3.02,0.53,15,0.5,2,4382,3127,"FALSE","Small lake.",
1556,"Lake LB1",-75.616667,57.916667,1598,"LAKELB1",10,0.9,0,3.02,0.53,15,0.5,2,3289,2632,"FALSE","Small lake.",
1557,"Lake LR1",-75.25,58.583333,1599,"LAKELR1",100,0.9,0,3.02,0.53,15,0.5,2,7516,104,"FALSE","Small lake.",
1558,"Lake LR3",-75.245,58.578333,1601,"LAKELR3",20,0.9,0,3.02,0.53,20,0.5,2,3728,3337,"FALSE","Lake. Physiography: Hudson Bay Lowland. Surrounding vegetation: shrub tundra, 20 km north of treeline.",
1560,"Lake PWWL",-98.538889,73.591389,1604,"LAKEPWWL",100,0.9,0,3.02,0.53,15,0.5,2,11230,33,"FALSE","Small lake. Surrounding vegetation: tundra, abun Saxifraga oppositifolia.",
1566,"L'Anse aux Meadows Site",-55.55,51.573333,1611,"LAN17",10,0.9,0,3.02,0.53,10,0.5,2,901,-2,"FALSE","Small slope fen. Physiography: low relief marine terrace. Surrounding vegetation: Sphagnum/Betula/Larix/Myrica.",
1569,"Tourbi�re de Lanoraie STJEAN",-73.216944,46,1615,"LANSTJE",5,0.9,0,3.02,0.53,20,0.5,2,1849,1,"FALSE","Ombrotrophic bog, ericaceous. Physiography: dissected deltaic plain. Surrounding vegetation: Tilio-Aceretum sacchari.",
1585,"Lily Lake",-135.4,59.2,1632,"LILYAK",50,0.9,0,3.02,0.53,20,0.5,2,4486,56,"FALSE","Headwaters lake between two low hills. Physiography: Chilkat Peninsula. Surrounding vegetation: Picea sitchensis, Tsuga heterophylla.",
1590,"Little Bass Lake",-93.600465,47.286,1639,"LITTBASS",20,0.9,1,3.02,0.53,20,0.5,2,12411,18,"FALSE","Kettle lake in mixed coniferous-deciduous forest  on sandy outwash deposited by St Louis sub-lobe of Des Moines lobe.",
